index,chartType,qNum,question,answer,qType,qaInput,response,time,correct,qType_simple,expType,LLM
5452,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,61.07656669616699,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2548,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,10-20Mbps,2.4544870853424072,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4807,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.9248178005218506,,determine range,reVLAT_Viz+NoChoices,ChatGPT
945,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,23-Jan,3.571749210357666,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5973,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,1.9675397872924805,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3142,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.0565309524536133,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5486,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg-140kg,2.511559247970581,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2509,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,20-May,2.7568390369415283,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6263,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140kg,1.9458940029144287,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5214,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$30-$65,1062.871845960617,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4196,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.00 ,5.546876192092896,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3082,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.00 ,3.993046998977661,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3479,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,20-Feb,65.87911915779114,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4876,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.00 ,60.62018990516663,,determine range,reVLAT_Viz+NoChoices,ChatGPT
343,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.558689832687378,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1902,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,6.348918199539185,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5670,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,2.608764171600342,,determine range,reVLAT_Viz+NoChoices,ChatGPT
46,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.60 ,3.505187988,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2600,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg,60.69323182106018,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3628,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,3.3652799129486084,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1103,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.135999917984009,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5809,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,3.6376969814300537,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4495,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,2.2499849796295166,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3859,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,63.79390501976013,,determine range,reVLAT_Viz+NoChoices,ChatGPT
442,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$60,2.144484043121338,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2819,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$34-$62,4.016921043395996,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5077,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40-140kg,60.63984704017639,,determine range,reVLAT_Viz+NoChoices,ChatGPT
433,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,5.018104076385498,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4419,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,6.963299989700317,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1750,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40-120kg,1.844886064529419,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1125,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,3.104278087615967,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2425,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140,7.4643120765686035,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5124,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,65.15597391,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6060,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.5740652084350586,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2553,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40-140kg,11.467100858688354,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1311,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,400km,1.4309232234954834,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2683,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,61.329652070999146,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1653,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,2.251418113708496,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3594,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.7824928760528564,,determine range,reVLAT_Viz+NoChoices,ChatGPT
61,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,1.915461063385009,,determine range,reVLAT_Viz+NoChoices,ChatGPT
385,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.802691936,,determine range,reVLAT_Viz+NoChoices,ChatGPT
423,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,1.914496898651123,,determine range,reVLAT_Viz+NoChoices,ChatGPT
193,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,50kg,1.7287211418151855,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6145,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,Approximately 2-23Mbps.,2.194776058197021,,determine range,reVLAT_Viz+NoChoices,ChatGPT
755,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.6350719928741455,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2471,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,591.5940559,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1327,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.5005459785461426,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6244,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40-125kg,4.048285722732544,,determine range,reVLAT_Viz+NoChoices,ChatGPT
628,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.7494139671325684,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1816,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,3.588359832763672,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5287,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,100kg,2.3292768,,determine range,reVLAT_Viz+NoChoices,ChatGPT
102,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,2.7554938793182373,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3908,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.8208649158477783,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2016,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.3795278072357178,,determine range,reVLAT_Viz+NoChoices,ChatGPT
786,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.182024955749512,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1905,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,10-20Mbps,2.160959005355835,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5396,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,2.5588059425354004,,determine range,reVLAT_Viz+NoChoices,ChatGPT
522,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.00 ,2.862882137298584,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5132,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg-140kg,60.42523503303528,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4462,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,4.012203931808472,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4910,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg,65.18624901771545,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4717,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.8729348182678223,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4938,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,3.266137123,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1163,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,1.8381259441375728,,determine range,reVLAT_Viz+NoChoices,ChatGPT
554,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.6333391666412354,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3934,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,64.82275319099426,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4734,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.00 ,7.279691934585571,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4043,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,61.30719375610352,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5409,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,400km,61.875102043151855,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5051,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,550km,60.40015101,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1679,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,50-130kg,2.044040918,,determine range,reVLAT_Viz+NoChoices,ChatGPT
211,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$2.20 ,3.892045259475708,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2822,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.1837358474731445,,determine range,reVLAT_Viz+NoChoices,ChatGPT
28,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.252688169,,determine range,reVLAT_Viz+NoChoices,ChatGPT
399,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,6.653177738189697,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2956,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,50kg,3.127882004,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5615,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,2-20Mbps,61.45236825942993,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2534,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2626.544556,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3261,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg-140kg,3.7751622200012207,,determine range,reVLAT_Viz+NoChoices,ChatGPT
64,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,3.4662561416625977,,determine range,reVLAT_Viz+NoChoices,ChatGPT
483,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140,10.137950897216797,,determine range,reVLAT_Viz+NoChoices,ChatGPT
120,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,11.861994981765749,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2031,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,2.4064786434173584,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2263,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,10-20Mbps,60.59790802001953,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2730,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,62.98706698417664,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4536,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60kg-140kg,2.765993118286133,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2101,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,10-20Mbps,3.989418029785156,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3086,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,3.170495033,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1339,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$60,2.561825752258301,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4459,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-120kg,2.866811990737915,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3482,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,60.08963418006897,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1676,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,490km,2.132863998413086,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5593,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,60.48281311988831,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3203,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-140,3.4922308921813965,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3012,Line Chart,3,What was the price range of a barrel of oil in 2015?,$37.36-$63.73,Determine Range,What was the price range of a barrel of oil in 2015?,$35-$65,2.4555869102478027,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3497,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,62.21695899963379,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4837,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,60.64323902130127,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5469,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,5-20Mbps,62.02986192703247,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2513,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,2.0484728813171387,,determine range,reVLAT_Viz+NoChoices,ChatGPT
4424,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,3.1718149185180664,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6341,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,20-May,60.97746109962464,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2029,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,500km,1.7676432132720947,,determine range,reVLAT_Viz+NoChoices,ChatGPT
974,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,10-20Mbps,2.732976198196411,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5481,Bar Chart,3,What is the range of the average internet speed in Asia?,9.5 - 19 Mbps,Determine Range,What is the range of the average internet speed in Asia?,0-20Mbps,2.6116092205047607,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1604,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.75 ,2.0898470878601074,,determine range,reVLAT_Viz+NoChoices,ChatGPT
6178,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,4.597832918167114,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3331,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,1.530656099319458,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5636,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,40kg,60.96848702430725,,determine range,reVLAT_Viz+NoChoices,ChatGPT
2014,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,5.437660217285156,,determine range,reVLAT_Viz+NoChoices,ChatGPT
5561,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,1.7,4.162120819091797,,determine range,reVLAT_Viz+NoChoices,ChatGPT
3429,Bubble Chart,3,What is the range of the total length of the metro systems?,190 - 530km,Determine range,What is the range of the total length of the metro systems?,450km,64.09541606903076,,determine range,reVLAT_Viz+NoChoices,ChatGPT
1345,Scatterplot,3,What is the range in weight for the 85 males?,53.9 - 131.6kg,Determine Range,What is the range in weight for the 85 males?,60-120kg,2.149864196777344,,determine range,reVLAT_Viz+NoChoices,ChatGPT
503,Area Chart,3,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$4.65 - $6.17,Determine Range,What was the range of the average price of a pound of coffee beans between January 2013 and December 2014?,$1.70 ,2.045165061950684,,determine range,reVLAT_Viz+NoChoices,ChatGPT
